timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621475918788,559,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,558,0,29
1621475918788,574,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,573,0,31
1621475918788,574,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,573,0,31
1621475918789,573,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,572,0,31
1621475918788,574,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,573,0,32
1621475918788,581,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,581,0,31
1621475921689,521,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,521,0,0
1621475921690,524,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,524,0,0
1621475921689,525,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475921689,525,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475921689,525,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475921691,526,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,526,0,0
1621475924690,530,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,530,0,0
1621475924689,531,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,531,0,0
1621475924689,531,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,531,0,0
1621475924689,531,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,531,0,0
1621475924689,531,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,531,0,0
1621475924690,538,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,538,0,0
1621475927689,520,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,520,0,0
1621475927691,525,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475927691,525,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475927689,527,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,527,0,0
1621475927691,525,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475927691,529,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,529,0,0
1621475930690,525,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475930690,525,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475930690,525,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475930690,525,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475930691,525,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,6,6,http://localhost:8084/?token=466662735&user=1964513752&conf=2,525,0,0
1621475930691,529,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,5,5,http://localhost:8084/?token=466662735&user=1964513752&conf=2,529,0,0
